config_name,rep,generation,is_active_generation,job_id,flush_completion_time,time_micros,flush_reason,generation_range_deletions,cumulative_flushed_range_deletions,pre_flush_logical_bytes,output_sst_bytes,window
Native-T512,3,16,False,30,2026-09-07 22:36:08.129081,1788791768129081,Memtable Max Range Deletions,512,8200,232905,51686,foreground
Native-T512,3,17,False,31,2026-09-07 22:36:08.181099,1788791768181099,Memtable Max Range Deletions,512,8712,245640,53296,foreground
Native-T512,3,18,False,34,2026-09-07 22:36:08.231496,1788791768231496,Memtable Max Range Deletions,513,9225,239739,52528,foreground
Native-T512,3,19,False,35,2026-09-07 22:36:08.283540,1788791768283540,Memtable Max Range Deletions,513,9738,236060,52123,foreground
Native-T512,3,20,False,36,2026-09-07 22:36:08.338790,1788791768338790,Memtable Max Range Deletions,512,10250,243942,52971,foreground
Native-T512,3,21,False,37,2026-09-07 22:36:08.394061,1788791768394061,Memtable Max Range Deletions,512,10762,236301,52146,foreground
Native-T512,3,22,False,39,2026-09-07 22:36:08.454246,1788791768454246,Memtable Max Range Deletions,512,11274,245640,53459,foreground
Native-T512,3,23,False,40,2026-09-07 22:36:08.509719,1788791768509719,Memtable Max Range Deletions,513,11787,239739,52681,foreground
Native-T512,3,24,False,41,2026-09-07 22:36:08.564965,1788791768564965,Memtable Max Range Deletions,512,12299,240546,52718,foreground
Native-T512,3,25,False,44,2026-09-07 22:36:08.629679,1788791768629679,Memtable Max Range Deletions,513,12812,237758,52362,foreground
Native-T512,3,26,False,46,2026-09-07 22:36:08.683967,1788791768683967,Memtable Max Range Deletions,514,13326,233555,51860,foreground
Native-T512,3,27,False,47,2026-09-07 22:36:08.740656,1788791768740656,Memtable Max Range Deletions,512,13838,254979,54467,foreground
Native-T512,3,28,False,51,2026-09-07 22:36:08.791542,1788791768791542,Memtable Max Range Deletions,512,14350,231773,51632,foreground
Native-T512,3,29,False,52,2026-09-07 22:36:08.843624,1788791768843624,Memtable Max Range Deletions,512,14862,237150,52178,foreground
Native-T512,3,30,False,53,2026-09-07 22:36:08.894983,1788791768894983,Memtable Max Range Deletions,512,15374,234886,51841,foreground
