config,phase,op_name,sample_count_per_rep,total_sample_count_5reps,metric,unit,rep1_raw,rep2_raw,rep3_raw,rep4_raw,rep5_raw,mean,sample_std,median,iqr,quantile_algorithm
AMTV-T512,Overall,GetLive,190000,950000,P50,us,10.3078149341926,9.627364937299173,10.856332976232903,10.322562161439677,10.467489156614246,10.31631283315572,0.4441949198548675,10.322562161439677,0.1596742224216463,cdf_mixture_inversion: exact sample-weighted empirical CDF inversion
AMTV-T512,Overall,GetLive,190000,950000,P95,us,48.73911602361741,42.60186183171865,45.20740430467299,50.16100277399606,46.34812416256908,46.611501819314846,2.9683231663878695,46.34812416256908,3.531711718944422,cdf_mixture_inversion: exact sample-weighted empirical CDF inversion
AMTV-T512,Overall,GetLive,190000,950000,P99,us,68.69479687697009,60.91823850891717,63.21899095232834,69.14756634490845,65.23081635594698,65.4420818078142,3.52713393606025,65.23081635594698,5.475805924641747,cdf_mixture_inversion: exact sample-weighted empirical CDF inversion
AMTV-T512,Overall,GetLive,190000,950000,P99.9,us,123.83865759185889,108.97312758850154,107.42023566460381,113.21801803480321,115.75206560518342,113.8404208969902,6.498381152041855,113.21801803480321,6.778938016681877,cdf_mixture_inversion: exact sample-weighted empirical CDF inversion
AMTV-T512,Overall,GetLive,190000,950000,Max,us,504.997,1052.77,1057.8,534.923,521.93,734.4839999999999,293.0474758712315,534.923,530.84,cdf_mixture_inversion: exact sample-weighted empirical CDF inversion
AMTV-T512,Overall,GetLive,190000,950000,Mean,us,14.101383157894736,13.778037894736842,14.060203157894737,14.117627368421054,13.704634736842106,13.952377263157896,0.19551684854405332,14.060203157894737,0.32334526315789347,cdf_mixture_inversion: exact sample-weighted empirical CDF inversion
AMTV-T512,Overall,Scan-PlannedIntersect,5000,25000,P50,us,63.142,61.926,62.976,59.254,59.884,61.436400000000006,1.7812890837817439,61.926,3.0919999999999987,exact_single_phase_pass_through: identical to constituent phase
AMTV-T512,Overall,Scan-PlannedIntersect,5000,25000,P95,us,117.207,123.071,113.951,127.724,112.218,118.83419999999998,6.466191746306324,117.207,9.120000000000005,exact_single_phase_pass_through: identical to constituent phase
AMTV-T512,Overall,Scan-PlannedIntersect,5000,25000,P99,us,144.892,145.393,140.886,199.826,148.442,155.8878,24.708843582814634,145.393,3.5500000000000114,exact_single_phase_pass_through: identical to constituent phase
AMTV-T512,Overall,Scan-PlannedIntersect,5000,25000,P99.9,us,187.653,198.745,173.328,235.249,179.131,194.8212,24.54244452372257,187.653,19.614000000000004,exact_single_phase_pass_through: identical to constituent phase
AMTV-T512,Overall,Scan-PlannedIntersect,5000,25000,Max,us,244.095,225.964,221.706,348.694,590.478,326.18739999999997,156.56973149622502,244.095,122.73000000000002,exact_single_phase_pass_through: identical to constituent phase
AMTV-T512,Overall,Scan-PlannedIntersect,5000,25000,Mean,us,69.4636,69.3388,69.2713,67.9712,66.6156,68.53209999999999,1.2300868709160349,69.2713,1.3676000000000101,exact_single_phase_pass_through: identical to constituent phase
AMTV-T512,Overall,Scan-Intersect,10000,50000,P50,us,116.37026878594841,127.52280199468763,114.91991116743606,117.67490047420509,111.56729566467365,117.61103561739017,5.990735288536564,116.37026878594841,2.7549893067690334,cdf_mixture_inversion: exact sample-weighted empirical CDF inversion
AMTV-T512,Overall,Scan-Intersect,10000,50000,P95,us,544.6942521236651,451.1921380044748,504.2445555555555,552.3986666666665,512.814222222222,513.0687669145169,40.16734069367564,512.814222222222,40.44969656810963,cdf_mixture_inversion: exact sample-weighted empirical CDF inversion
AMTV-T512,Overall,Scan-Intersect,10000,50000,P99,us,661.2427499999994,587.8139959718264,632.5384999999994,677.7504999999996,625.9959999999996,637.0683491943648,34.67184308001274,632.5384999999994,35.24674999999979,cdf_mixture_inversion: exact sample-weighted empirical CDF inversion
