exp_id,rep,phase,worker_id,op_class,op_count,total_latency_ms,p50_us,p95_us,p99_us,materialized_ops,materialization_rate_per_1k,lock_contended_ops,both_count,materialization_or_lock_affected_reads,affected_p50_us,affected_p95_us,affected_p99_us,view_materialization_ms,lock_wait_ms,materialization_and_lock_ratio,active_mem_prep_ms,active_mem_lookup_ms,imm_mem_prep_ms,imm_mem_lookup_ms,active_mem_iter_construct_ms,imm_mem_iter_construct_ms,sst_iter_construct_ms,reseek_count,boundary_advance_count,child_next_count,covered_skip_count,cache_invalidation_count
e9_v2a_r3,3,2,1,DeleteRange,350,22.2518,58.85,106.31,135.96,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,350
e9_v2a_r3,3,2,2,GetLive,5112,195.1959,14.22,153.85,530.56,219,42.8404,569,0,788,107.93,582.46,758.12,24.0792,92.7215,0.598377,120.1102,2.2548,0.0858,0.3657,0.0,0.0,0.0,0,0,0,0,0
e9_v2a_r3,3,2,2,GetDeleted,2388,74.9396,6.61,144.54,545.89,112,46.9012,250,0,362,97.9,614.36,769.69,12.1506,44.5973,0.757248,58.3386,1.102,0.0387,0.1646,0.0,0.0,0.0,0,0,0,0,0
e9_v2a_r3,3,2,2,ScanIntersect,2456,328.4536,101.65,269.15,839.87,116,47.2313,297,0,413,194.87,895.58,961.38,13.8097,50.9381,0.197129,0.0,0.0,0.0,0.0,67.9188,0.477,19.3693,6413,4145,28,28,0
e9_v2a_r3,3,2,2,ScanNonIntersect,44,5.5211,103.51,232.44,517.23,2,45.4545,4,0,6,156.77,517.23,517.23,0.0445,0.6973,0.134352,0.0,0.0,0.0,0.0,0.7994,0.0046,0.3364,1,1,0,0,0
e9_v2a_r3,3,2,2,Put,2150,42.9175,12.42,59.75,100.43,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
e9_v2a_r3,3,2,2,DeleteRange,350,18.4358,40.54,100.61,154.98,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,350
e9_v2a_r3,3,2,3,GetLive,5077,229.7852,20.57,154.79,587.42,121,23.833,663,0,784,109.85,673.22,791.93,18.4174,101.2881,0.520945,124.1845,2.9902,0.1044,0.4036,0.0,0.0,0.0,0,0,0,0,0
e9_v2a_r3,3,2,3,GetDeleted,2423,81.8782,9.53,150.62,519.74,63,26.0008,300,0,363,103.39,616.22,753.99,9.5992,46.8583,0.689531,58.441,1.3895,0.0477,0.1857,0.0,0.0,0.0,0,0,0,0,0
e9_v2a_r3,3,2,3,ScanIntersect,2468,408.637,141.25,329.33,700.69,52,21.0697,323,0,375,246.96,838.85,987.36,5.1393,50.2105,0.13545,0.0,0.0,0.0,0.0,59.6252,0.5259,26.2934,4238,3119,9,9,0
e9_v2a_r3,3,2,3,ScanNonIntersect,32,7.2097,194.16,399.07,811.85,0,0.0,6,0,6,359.14,811.85,811.85,0.0,1.2387,0.171804,0.0,0.0,0.0,0.0,1.3032,0.0058,0.3885,1,2,0,0,0
